cpu,memory,processes,disk,label
10.0,45.0,400,284477500000,0
15.0,45.5,405,284477560000,0
20.0,46.0,410,284482690000,0
25.0,46.5,415,284483420000,0
30.0,47.0,420,284483430000,0
35.0,47.5,425,284483440000,0
40.0,48.0,430,284483450000,0
45.0,48.5,435,284488410000,0
50.0,49.0,440,284490590000,0
55.0,49.5,445,284491830000,0
60.0,50.0,450,284492240000,0
65.0,50.5,455,284502340000,0
70.0,51.0,460,284502480000,0
75.0,51.5,465,284502490000,0
80.0,52.0,470,284502520000,0

82.0,52.5,472,284503000000,0
85.0,53.0,475,284503100000,0
87.0,53.5,478,284503200000,1
90.0,54.0,480,284503300000,1
92.0,54.5,482,284503400000,1
94.0,55.0,485,284503500000,1
96.0,55.5,488,284503600000,1
98.0,56.0,490,284503700000,1
100.0,56.5,495,284503800000,1
99.0,56.2,492,284503900000,1
97.0,55.8,490,284504000000,1
95.0,55.3,488,284504100000,1
92.0,54.8,485,284504200000,1
89.0,54.2,482,284504300000,1

80.0,52.5,470,284504400000,0
70.0,51.5,460,284504500000,0
60.0,50.5,450,284504600000,0
50.0,49.5,440,284504700000,0
40.0,48.5,430,284504800000,0
30.0,47.5,420,284504900000,0
20.0,46.5,410,284505000000,0
15.0,45.5,405,284505100000,0
